,arm_3_gap_0,arm_3_gap_1,arm_3_gap_2,arm_3_gap_3,arm_3_gap_4,arm_3_gap_5,arm_3_gap_6,arm_3_gap_7,arm_3_gap_8,arm_3_gap_9,arm_3_gap_10,arm_3_gap_11,arm_3_gap_12,arm_3_gap_13,arm_3_gap_14,arm_3_gap_15,arm_3_gap_16,arm_3_gap_17,arm_3_gap_18,arm_3_gap_19,arm_3_gap_20,arm_4_gap_0,arm_4_gap_1,arm_4_gap_2,arm_4_gap_3,arm_4_gap_4,arm_4_gap_5,arm_4_gap_6,arm_4_gap_7,arm_4_gap_8,arm_4_gap_9,arm_4_gap_10,arm_4_gap_11,arm_4_gap_12,arm_4_gap_13,arm_4_gap_14,arm_4_gap_15,arm_4_gap_16,arm_4_gap_17,arm_4_gap_18,arm_4_gap_19,arm_4_gap_20,arm_5_gap_0,arm_5_gap_1,arm_5_gap_2,arm_5_gap_3,arm_5_gap_4,arm_5_gap_5,arm_5_gap_6,arm_5_gap_7,arm_5_gap_8,arm_5_gap_9,arm_5_gap_10,arm_5_gap_11,arm_5_gap_12,arm_5_gap_13,arm_5_gap_14,arm_5_gap_15,arm_5_gap_16,arm_5_gap_17,arm_5_gap_18,arm_5_gap_19,arm_5_gap_20,arm_6_gap_0,arm_6_gap_1,arm_6_gap_2,arm_6_gap_3,arm_6_gap_4,arm_6_gap_5,arm_6_gap_6,arm_6_gap_7,arm_6_gap_8,arm_6_gap_9,arm_6_gap_10,arm_6_gap_11,arm_6_gap_12,arm_6_gap_13,arm_6_gap_14,arm_6_gap_15,arm_6_gap_16,arm_6_gap_17,arm_6_gap_18,arm_6_gap_19,arm_6_gap_20,arm_7_gap_0,arm_7_gap_1,arm_7_gap_2,arm_7_gap_3,arm_7_gap_4,arm_7_gap_5,arm_7_gap_6,arm_7_gap_7,arm_7_gap_8,arm_7_gap_9,arm_7_gap_10,arm_7_gap_11,arm_7_gap_12,arm_7_gap_13,arm_7_gap_14,arm_7_gap_15,arm_7_gap_16,arm_7_gap_17,arm_7_gap_18,arm_7_gap_19,arm_7_gap_20,arm_8_gap_0,arm_8_gap_1,arm_8_gap_2,arm_8_gap_3,arm_8_gap_4,arm_8_gap_5,arm_8_gap_6,arm_8_gap_7,arm_8_gap_8,arm_8_gap_9,arm_8_gap_10,arm_8_gap_11,arm_8_gap_12,arm_8_gap_13,arm_8_gap_14,arm_8_gap_15,arm_8_gap_16,arm_8_gap_17,arm_8_gap_18,arm_8_gap_19,arm_8_gap_20,arm_9_gap_0,arm_9_gap_1,arm_9_gap_2,arm_9_gap_3,arm_9_gap_4,arm_9_gap_5,arm_9_gap_6,arm_9_gap_7,arm_9_gap_8,arm_9_gap_9,arm_9_gap_10,arm_9_gap_11,arm_9_gap_12,arm_9_gap_13,arm_9_gap_14,arm_9_gap_15,arm_9_gap_16,arm_9_gap_17,arm_9_gap_18,arm_9_gap_19,arm_9_gap_20,arm_10_gap_0,arm_10_gap_1,arm_10_gap_2,arm_10_gap_3,arm_10_gap_4,arm_10_gap_5,arm_10_gap_6,arm_10_gap_7,arm_10_gap_8,arm_10_gap_9,arm_10_gap_10,arm_10_gap_11,arm_10_gap_12,arm_10_gap_13,arm_10_gap_14,arm_10_gap_15,arm_10_gap_16,arm_10_gap_17,arm_10_gap_18,arm_10_gap_19,arm_10_gap_20,arm_11_gap_0,arm_11_gap_1,arm_11_gap_2,arm_11_gap_3,arm_11_gap_4,arm_11_gap_5,arm_11_gap_6,arm_11_gap_7,arm_11_gap_8,arm_11_gap_9,arm_11_gap_10,arm_11_gap_11,arm_11_gap_12,arm_11_gap_13,arm_11_gap_14,arm_11_gap_15,arm_11_gap_16,arm_11_gap_17,arm_11_gap_18,arm_11_gap_19,arm_11_gap_20,arm_12_gap_0,arm_12_gap_1,arm_12_gap_2,arm_12_gap_3,arm_12_gap_4,arm_12_gap_5,arm_12_gap_6,arm_12_gap_7,arm_12_gap_8,arm_12_gap_9,arm_12_gap_10,arm_12_gap_11,arm_12_gap_12,arm_12_gap_13,arm_12_gap_14,arm_12_gap_15,arm_12_gap_16,arm_12_gap_17,arm_12_gap_18,arm_12_gap_19,arm_12_gap_20,arm_13_gap_0,arm_13_gap_1,arm_13_gap_2,arm_13_gap_3,arm_13_gap_4,arm_13_gap_5,arm_13_gap_6,arm_13_gap_7,arm_13_gap_8,arm_13_gap_9,arm_13_gap_10,arm_13_gap_11,arm_13_gap_12,arm_13_gap_13,arm_13_gap_14,arm_13_gap_15,arm_13_gap_16,arm_13_gap_17,arm_13_gap_18,arm_13_gap_19,arm_13_gap_20,arm_14_gap_0,arm_14_gap_1,arm_14_gap_2,arm_14_gap_3,arm_14_gap_4,arm_14_gap_5,arm_14_gap_6,arm_14_gap_7,arm_14_gap_8,arm_14_gap_9,arm_14_gap_10,arm_14_gap_11,arm_14_gap_12,arm_14_gap_13,arm_14_gap_14,arm_14_gap_15,arm_14_gap_16,arm_14_gap_17,arm_14_gap_18,arm_14_gap_19,arm_14_gap_20,arm_15_gap_0,arm_15_gap_1,arm_15_gap_2,arm_15_gap_3,arm_15_gap_4,arm_15_gap_5,arm_15_gap_6,arm_15_gap_7,arm_15_gap_8,arm_15_gap_9,arm_15_gap_10,arm_15_gap_11,arm_15_gap_12,arm_15_gap_13,arm_15_gap_14,arm_15_gap_15,arm_15_gap_16,arm_15_gap_17,arm_15_gap_18,arm_15_gap_19,arm_15_gap_20,arm_16_gap_0,arm_16_gap_1,arm_16_gap_2,arm_16_gap_3,arm_16_gap_4,arm_16_gap_5,arm_16_gap_6,arm_16_gap_7,arm_16_gap_8,arm_16_gap_9,arm_16_gap_10,arm_16_gap_11,arm_16_gap_12,arm_16_gap_13,arm_16_gap_14,arm_16_gap_15,arm_16_gap_16,arm_16_gap_17,arm_16_gap_18,arm_16_gap_19,arm_16_gap_20,arm_17_gap_0,arm_17_gap_1,arm_17_gap_2,arm_17_gap_3,arm_17_gap_4,arm_17_gap_5,arm_17_gap_6,arm_17_gap_7,arm_17_gap_8,arm_17_gap_9,arm_17_gap_10,arm_17_gap_11,arm_17_gap_12,arm_17_gap_13,arm_17_gap_14,arm_17_gap_15,arm_17_gap_16,arm_17_gap_17,arm_17_gap_18,arm_17_gap_19,arm_17_gap_20,arm_18_gap_0,arm_18_gap_1,arm_18_gap_2,arm_18_gap_3,arm_18_gap_4,arm_18_gap_5,arm_18_gap_6,arm_18_gap_7,arm_18_gap_8,arm_18_gap_9,arm_18_gap_10,arm_18_gap_11,arm_18_gap_12,arm_18_gap_13,arm_18_gap_14,arm_18_gap_15,arm_18_gap_16,arm_18_gap_17,arm_18_gap_18,arm_18_gap_19,arm_18_gap_20,arm_19_gap_0,arm_19_gap_1,arm_19_gap_2,arm_19_gap_3,arm_19_gap_4,arm_19_gap_5,arm_19_gap_6,arm_19_gap_7,arm_19_gap_8,arm_19_gap_9,arm_19_gap_10,arm_19_gap_11,arm_19_gap_12,arm_19_gap_13,arm_19_gap_14,arm_19_gap_15,arm_19_gap_16,arm_19_gap_17,arm_19_gap_18,arm_19_gap_19,arm_19_gap_20,arm_20_gap_0,arm_20_gap_1,arm_20_gap_2,arm_20_gap_3,arm_20_gap_4,arm_20_gap_5,arm_20_gap_6,arm_20_gap_7,arm_20_gap_8,arm_20_gap_9,arm_20_gap_10,arm_20_gap_11,arm_20_gap_12,arm_20_gap_13,arm_20_gap_14,arm_20_gap_15,arm_20_gap_16,arm_20_gap_17,arm_20_gap_18,arm_20_gap_19,arm_20_gap_20
chromosome_GCF_000005845.2_ASM584v2,34425,48076,32578,34574,36598,36801,36871,35882,36252,37129,36480,35967,36983,35882,35912,36661,35502,35945,36471,35497,35522,8828,12264,8494,8891,9761,10051,9893,9806,9787,9633,9730,9721,9690,9509,9369,9486,9455,9607,9536,9550,9576,2300,3317,2374,2540,2735,2793,2751,2673,2602,2513,2649,2669,2575,2486,2491,2644,2395,2610,2528,2616,2563,671,978,657,613,677,693,694,609,689,689,654,662,643,665,640,681,643,649,621,652,674,153,234,181,136,171,178,184,147,225,180,181,182,189,205,177,187,192,198,165,173,213,49,54,31,38,54,46,57,40,43,37,54,49,48,38,38,47,41,58,51,38,42,11,15,7,13,20,9,5,11,16,12,12,15,11,11,18,10,15,14,11,18,9,2,2,3,1,2,2,11,6,0,5,4,6,1,3,4,3,4,3,4,3,4,1,0,1,1,4,6,3,1,1,1,2,3,2,2,0,1,0,2,1,2,1,0,0,0,0,1,1,0,1,0,1,0,1,0,0,0,1,1,0,0,0,0,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
chromosome_GCF_000009045.1_ASM904v1,39417,46020,33450,32362,34939,36550,34342,34394,34174,33706,35304,34692,34533,35385,35497,34237,34640,34717,33715,33945,33897,10379,11906,8962,8788,9181,9796,9369,9139,9286,9177,9276,9470,9628,9332,9474,9264,9229,9450,9014,9026,9200,2867,3275,2291,2371,2433,2691,2541,2568,2498,2574,2532,2531,2459,2563,2555,2503,2527,2487,2480,2506,2502,775,896,596,565,597,709,642,661,621,626,675,747,672,694,691,652,646,679,660,638,665,183,231,141,116,150,170,176,150,177,184,197,198,177,167,170,195,150,204,160,181,170,28,44,33,25,38,45,44,52,34,48,47,45,47,43,46,53,49,53,39,68,40,17,15,15,6,14,9,7,15,9,19,13,13,8,12,17,8,16,13,5,14,13,5,4,3,4,11,1,2,5,5,3,2,2,5,3,2,4,0,5,5,6,3,1,3,1,0,2,0,0,2,2,1,0,3,2,1,2,1,1,3,1,1,3,1,0,0,1,1,0,0,5,0,0,0,1,1,0,0,0,1,0,0,1,0,1,1,0,0,0,0,1,1,0,0,0,2,2,0,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
chromosome_GCF_000013425.1_ASM1342v1,30995,35635,26919,24333,25869,25705,23992,25044,25209,23959,25670,25754,24605,25652,25499,24482,25308,25353,23901,24906,25111,8425,9207,7667,6817,6983,7723,6808,6691,7692,6759,6889,7689,6753,6919,7394,6778,6698,7574,6680,6755,7440,2415,2649,2037,1952,1976,2084,2050,2127,1975,1983,2027,1984,1977,1956,1954,2028,1962,2007,1940,2009,2019,651,695,539,487,526,575,591,564,523,497,530,563,552,564,572,557,552,569,570,531,532,193,215,183,132,132,176,144,163,187,146,179,177,148,159,168,155,157,195,138,156,172,48,56,45,40,34,58,31,44,44,47,41,36,43,46,48,44,51,58,43,45,56,11,22,14,6,18,8,11,13,12,11,17,10,12,17,13,11,17,8,9,17,19,4,1,1,0,8,5,1,2,2,5,5,4,6,1,4,7,5,5,2,3,0,1,3,0,0,3,0,1,1,0,2,1,2,4,3,2,1,1,0,0,1,3,1,1,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
chromosome_GCF_000006765.1_ASM676v1,85309,94538,56812,67895,61200,62556,65940,59353,59625,64411,60029,60316,66327,60664,61425,67348,58659,60142,65387,58461,58704,21499,27242,21159,18065,17910,22536,17261,16867,21853,16847,17564,21597,17971,17578,21505,17707,17064,21492,16759,16856,21136,7350,8005,5889,6625,5412,6527,6097,5096,6002,5955,5274,6034,5993,5202,6028,5968,5125,6087,5940,4961,5907,2129,2579,1667,1862,1693,1729,1819,1583,1571,1664,1564,1552,1678,1566,1613,1701,1461,1612,1623,1533,1622,584,806,620,521,510,589,499,462,531,418,430,581,473,480,533,482,406,550,526,477,519,186,239,163,150,129,162,156,151,132,150,119,154,130,152,127,130,137,170,170,116,155,61,77,35,42,37,39,45,32,42,46,40,42,45,37,34,59,36,37,43,45,44,22,26,21,16,15,15,12,12,14,22,19,14,18,7,13,14,11,16,17,9,18,3,2,5,2,8,10,6,7,5,3,2,4,5,1,4,3,5,4,5,5,3,2,2,2,2,0,1,1,4,1,5,2,4,1,0,1,0,1,0,0,0,1,0,3,0,2,0,0,0,2,0,1,1,3,0,1,0,0,0,0,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
chromosome_GCF_000195955.2_ASM19595v2,62499,67363,41262,41543,43681,45097,42730,43141,42357,42286,44632,43566,43126,42813,42653,42704,41945,42975,42517,43015,43491,19455,18738,11855,12298,12313,13989,12023,12419,13245,12112,12669,13243,12025,11919,13180,12023,12041,13228,11972,12366,12949,5428,5949,3374,3828,3856,3891,3727,3944,3708,3635,3928,3605,3737,3740,3704,3595,3715,3542,3632,3899,3644,1515,1847,997,1160,1148,1165,1069,1023,992,1049,1092,1088,1115,1079,1135,1150,1053,1054,1015,1079,1028,475,547,336,346,327,316,301,288,297,310,345,304,333,373,361,307,321,338,299,336,324,190,219,90,99,96,100,83,85,88,103,139,106,98,113,75,88,94,90,82,131,99,38,46,24,25,33,26,21,39,20,31,41,20,29,24,28,24,30,24,25,37,31,8,18,10,14,13,15,2,6,9,10,11,14,9,12,11,11,6,10,5,9,9,3,9,2,1,3,2,2,6,7,6,6,5,3,4,5,1,2,4,0,1,1,1,4,1,2,2,2,5,1,2,0,0,1,1,0,0,0,0,2,1,2,3,5,2,1,2,0,2,2,0,0,2,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,2,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,2,0,0,1,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
chromosome_GCF_000006945.2_ASM694v2,42934,54322,34880,38352,40236,40566,40455,39238,39557,41000,39872,39214,40236,39568,39148,40397,38804,39399,39643,39046,39458,11214,14091,9563,10279,11099,11381,11144,10811,11028,10662,10768,10955,10669,10653,10398,10831,10591,10724,10378,10672,10758,2982,3860,2636,2881,3093,3169,3060,2932,2932,2844,2924,2956,2990,2915,2757,2916,2910,2929,2753,2727,2929,885,1103,733,821,835,846,844,738,721,799,774,792,794,799,697,820,711,743,732,750,786,270,300,214,208,243,211,210,191,200,210,205,190,205,207,194,218,224,233,192,197,196,62,88,62,46,62,57,60,57,42,48,54,77,54,66,53,50,63,66,61,52,58,14,6,9,14,14,13,12,9,23,12,18,20,19,21,5,11,15,13,23,12,23,10,6,9,0,5,7,1,6,1,7,2,7,5,5,3,1,1,0,6,4,3,1,1,0,1,4,1,0,2,3,0,2,1,1,0,2,0,1,1,1,0,1,2,0,0,0,1,0,0,0,2,0,0,1,0,2,1,1,2,1,1,1,0,0,0,1,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
chromosome_GCF_018885085.1_ASM1888508v1,44371,50658,42350,38517,40016,41395,38550,40247,39752,37391,40318,39422,37728,40190,40036,37761,39693,39976,37194,39119,39077,12655,13383,12875,11485,11067,12678,11405,11280,12477,10849,11356,12276,11100,11126,12143,11091,10947,12196,10929,10815,12167,3633,4008,3364,3488,3384,3526,3616,3564,3443,3260,3487,3341,3231,3348,3277,3359,3296,3416,3295,3296,3322,932,1195,996,903,1049,935,934,992,999,929,946,970,918,966,951,872,986,985,933,980,923,273,339,326,249,280,308,297,249,314,272,261,313,264,278,320,278,267,315,274,266,300,89,96,76,82,68,79,59,86,76,74,76,99,91,95,100,66,99,94,76,71,81,19,29,24,21,34,23,18,34,23,20,30,27,23,27,18,18,26,30,28,27,18,9,8,8,5,4,11,5,9,4,4,10,10,5,8,6,3,9,6,15,6,6,1,2,0,3,4,1,2,5,2,3,5,4,3,3,0,1,2,4,3,3,6,0,2,1,0,0,1,0,2,1,3,0,0,1,1,0,0,1,0,1,1,2,3,0,0,0,0,2,0,0,0,1,0,0,1,1,0,1,1,0,0,0,0,0,0,1,0,0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
chromosome_GCF_009769205.1_ASM976920v1,20322,23542,18279,16162,17730,19055,17231,17965,17789,16586,17820,17773,16733,17961,17827,16506,17612,17869,16679,17241,17422,5744,6448,4858,4717,4955,5185,4806,4986,5077,4728,4840,4912,4924,4917,4879,4720,4730,4887,4766,4636,4769,1484,1829,1406,1291,1453,1556,1468,1540,1339,1376,1376,1273,1368,1469,1330,1287,1396,1356,1321,1478,1301,438,556,404,320,398,436,343,417,405,339,368,382,347,391,399,369,406,359,368,360,391,120,135,100,85,92,101,101,104,106,116,123,101,109,114,115,111,113,114,93,101,90,29,46,21,21,21,25,26,37,22,28,30,50,28,38,31,34,17,23,28,32,34,2,8,9,6,3,5,8,7,11,8,13,8,6,17,9,10,6,9,14,4,6,2,4,2,0,0,2,4,3,2,6,5,1,1,2,3,1,0,5,4,3,3,0,1,0,0,0,0,1,1,1,1,1,1,0,2,1,2,0,1,0,0,1,0,0,1,0,0,0,1,0,0,1,0,0,0,1,1,0,0,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
chromosome_1_GCF_008369605.1_ASM836960v1,24528,28808,21850,22734,23217,24606,23923,23620,23361,23625,23880,23575,23799,23768,23622,23649,23514,23590,23732,23604,23462,6155,7380,5610,5887,6367,6674,6348,6328,6368,6295,6272,6225,6205,6021,6198,6226,5889,6228,6064,6150,6070,1681,1990,1538,1716,1752,1874,1829,1694,1708,1639,1627,1699,1731,1567,1631,1742,1602,1673,1631,1616,1540,460,519,420,491,517,518,511,427,414,414,473,454,427,412,431,467,416,444,422,407,419,120,146,119,102,121,133,140,129,129,130,114,129,103,119,131,116,111,114,105,119,102,34,47,36,35,38,27,23,41,34,36,38,37,20,24,28,24,25,43,30,31,32,12,6,10,6,12,8,7,6,14,10,7,6,7,10,9,6,9,6,6,6,3,2,4,2,2,7,4,4,0,2,4,2,4,0,5,1,1,2,1,2,1,1,1,2,0,1,0,3,3,2,0,1,2,1,0,2,0,0,0,0,0,1,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
chromosome_2_GCF_008369605.1_ASM836960v1,8559,10163,7944,8077,8711,9041,8531,8896,8649,8581,8916,8737,8915,8696,8713,8593,8588,8604,8633,8748,8637,2217,2722,2050,2142,2250,2361,2325,2230,2318,2272,2328,2363,2246,2189,2261,2278,2236,2370,2238,2347,2319,571,733,608,628,639,679,687,592,631,615,616,591,587,610,615,593,532,631,586,606,571,155,173,145,171,194,165,184,152,144,149,158,170,156,164,143,183,190,166,170,163,149,44,44,34,45,37,49,51,49,55,36,41,48,51,57,35,31,35,36,43,41,34,8,17,11,8,9,6,11,10,10,13,7,12,11,9,16,12,16,9,17,12,8,4,4,5,4,1,3,2,1,1,1,3,6,3,2,1,4,1,4,1,5,2,0,2,1,1,0,0,2,1,1,0,0,2,0,2,0,2,0,1,0,1,2,0,0,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,1,0,0,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
chromosome_GCF_017821535.1_ASM1782153v1,13110,16337,13763,14075,14509,14439,14209,14388,14650,13933,14605,14510,13920,14247,14414,13514,14218,14343,13543,14018,14332,3666,4182,4069,3788,3923,4435,4016,4028,4389,3931,4053,4340,3944,3767,4257,3831,3848,4257,3837,3821,4289,1035,1171,1167,1164,1181,1241,1206,1116,1233,1243,1126,1230,1148,1136,1141,1241,1078,1239,1163,1149,1137,325,335,340,340,362,350,327,359,298,305,320,297,348,282,354,378,371,298,341,307,325,78,130,123,76,76,97,83,89,111,93,85,92,94,95,103,78,82,106,85,81,102,26,34,30,21,27,31,28,23,18,31,35,32,32,26,27,34,28,27,17,19,23,9,8,6,5,6,4,3,7,4,8,10,4,10,6,11,7,9,8,12,8,6,3,2,3,1,0,0,0,3,3,4,2,1,0,3,2,3,1,4,0,4,4,0,1,1,0,0,0,0,0,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
chromosome_GCF_000022005.1_ASM2200v1,61177,62217,39057,43180,39556,41761,44759,41195,41326,45140,41288,40478,44507,40503,40486,44967,40076,41039,44596,40034,40096,15492,17583,14303,11937,12361,14920,12646,12402,14480,12182,12205,14077,12465,12143,14098,12423,12047,14545,12172,12237,14167,5153,5253,4020,4272,3643,4341,4280,3638,4010,3989,3511,4051,4029,3480,4087,4024,3480,4070,4198,3535,4057,1461,1711,1085,1174,1092,1131,1208,1058,1017,1138,1004,1054,1115,978,1042,1157,1033,1100,1103,1023,1028,463,491,401,285,325,400,304,293,350,288,267,328,289,308,358,286,300,394,312,298,355,140,113,91,103,80,90,98,62,87,73,74,81,78,73,101,85,79,90,98,71,95,39,35,22,30,17,29,24,16,10,20,21,17,30,24,24,32,15,29,33,26,16,14,10,3,2,6,4,4,3,5,5,5,8,7,4,6,4,6,3,5,1,5,5,1,1,3,3,4,4,3,6,2,7,3,2,0,3,2,2,4,2,3,0,0,0,2,1,2,2,1,4,1,0,1,1,1,0,0,1,2,3,1,0,0,1,0,2,0,3,0,0,0,1,0,0,0,0,0,2,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0,6,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
